text,coder,tweet,topics,Arts & Culture,Business & Entrepreneurs,Celebrity & Pop Culture,Diaries & Daily Life,Family,Fashion & Style,"Film, TV & Video",Fitness & Health,Food & Dining,Learning & Educational,News & Social Concern,Relationships,Science & Technology,Youth & Student Life,Music,Gaming,Sports,Travel & Adventure,Other Hobbies,id
"#あんなるーむ
配信ありがとう
広島のミジンコでしっくりきたみたいだけどもうちょっとカワイイのがいいなー
📸使わない人はいいもの買っても使わないのよ(本人談)
買ったらたくさん自慢してね",5f57620f2095071eaf7a8224,"#あんなるーむ
配信ありがとう
広島のミジンコでしっくりきたみたいだけどもうちょっとカワイイのがいいなー
📸使わない人はいいもの買っても使わないのよ(本人談)
買ったらたくさん自慢してね - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'その他'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1495035438582894592
"#あんなるーむ
配信ありがとう
広島のミジンコでしっくりきたみたいだけどもうちょっとカワイイのがいいなー
📸使わない人はいいもの買っても使わないのよ(本人談)
買ったらたくさん自慢してね",6266d1937cec5e7a57883e76,"#あんなるーむ
配信ありがとう
広島のミジンコでしっくりきたみたいだけどもうちょっとカワイイのがいいなー
📸使わない人はいいもの買っても使わないのよ(本人談)
買ったらたくさん自慢してね - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]","frozenset({'その他', '日常'})",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1495035438582894592
"#あんなるーむ
配信ありがとう
広島のミジンコでしっくりきたみたいだけどもうちょっとカワイイのがいいなー
📸使わない人はいいもの買っても使わないのよ(本人談)
買ったらたくさん自慢してね",5c5aaf83a7ca950001f5a4c0,"#あんなるーむ
配信ありがとう
広島のミジンコでしっくりきたみたいだけどもうちょっとカワイイのがいいなー
📸使わない人はいいもの買っても使わないのよ(本人談)
買ったらたくさん自慢してね - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'ゲーム'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1495035438582894592
"#あんなるーむ
配信ありがとう
広島のミジンコでしっくりきたみたいだけどもうちょっとカワイイのがいいなー
📸使わない人はいいもの買っても使わないのよ(本人談)
買ったらたくさん自慢してね",62fd1304230026aaa1e5c5b1,"#あんなるーむ
配信ありがとう
広島のミジンコでしっくりきたみたいだけどもうちょっとカワイイのがいいなー
📸使わない人はいいもの買っても使わないのよ(本人談)
買ったらたくさん自慢してね - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'人間関係'}),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1495035438582894592
"#この観ラ20220615
赤松敏弘Vibトリオ
アワデライト",6508d68976f0b23afc2f508a,"#この観ラ20220615
赤松敏弘Vibトリオ
アワデライト - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'音楽'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1520492935720374272
"#この観ラ20220615
赤松敏弘Vibトリオ
アワデライト",63f7df76fda679592c5132bf,"#この観ラ20220615
赤松敏弘Vibトリオ
アワデライト - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'芸能'}),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520492935720374272
"#この観ラ20220615
赤松敏弘Vibトリオ
アワデライト",57d56562a0e8ce00015439c7,"#この観ラ20220615
赤松敏弘Vibトリオ
アワデライト - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'その他'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1520492935720374272
"#この観ラ20220615
赤松敏弘Vibトリオ
アワデライト",5ed09064cf9fca16bfc2232f,"#この観ラ20220615
赤松敏弘Vibトリオ
アワデライト - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]","frozenset({'音楽', '芸能'})",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1520492935720374272
"#この観ラ20220615
赤松敏弘Vibトリオ
アワデライト",5fbd371dc57ae80a38ba00c2,"#この観ラ20220615
赤松敏弘Vibトリオ
アワデライト - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]","frozenset({'映画&ラジオ', '芸能'})",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1520492935720374272
#なにわ男子ANNP すたんばってたけどこっち23日からの放送だったのね🥲,64545cf5a05a75d2466364ee,"#なにわ男子ANNP すたんばってたけどこっち23日からの放送だったのね🥲 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]","frozenset({'映画&ラジオ', '芸能'})",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1444240740545011712
#なにわ男子ANNP すたんばってたけどこっち23日からの放送だったのね🥲,6266d1937cec5e7a57883e76,"#なにわ男子ANNP すたんばってたけどこっち23日からの放送だったのね🥲 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]","frozenset({'日常', '芸能'})",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444240740545011712
#なにわ男子ANNP すたんばってたけどこっち23日からの放送だったのね🥲,64ef68f6a71e079b1239a4f3,"#なにわ男子ANNP すたんばってたけどこっち23日からの放送だったのね🥲 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]","frozenset({'映画&ラジオ', '音楽', '芸能'})",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1444240740545011712
#なにわ男子ANNP すたんばってたけどこっち23日からの放送だったのね🥲,616604bed27acb2f4e2841a9,"#なにわ男子ANNP すたんばってたけどこっち23日からの放送だったのね🥲 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'映画&ラジオ'}),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1444240740545011712
#なにわ男子ANNP すたんばってたけどこっち23日からの放送だったのね🥲,6501ec1747921df1c19226fd,"#なにわ男子ANNP すたんばってたけどこっち23日からの放送だったのね🥲 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'芸能'}),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444240740545011712
"#ひるまックの時間です
昼です",5ff265688f62107122f931f2,"#ひるまックの時間です
昼です - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'料理'}),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1509002471854972928
"#ひるまックの時間です
昼です",64950eb7e2cb12bc4dc6d9d2,"#ひるまックの時間です
昼です - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'料理'}),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1509002471854972928
"#ひるまックの時間です
昼です",57d56562a0e8ce00015439c7,"#ひるまックの時間です
昼です - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'料理'}),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1509002471854972928
"#ひるまックの時間です
昼です",5c5aaf83a7ca950001f5a4c0,"#ひるまックの時間です
昼です - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'料理'}),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1509002471854972928
"#ひるまックの時間です
昼です",5ffe640167408f52d6db782c,"#ひるまックの時間です
昼です - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]","frozenset({'その他', '日常'})",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1509002471854972928
"#佐々木朗希 さん #吉田正尚 さんから3三振。吉田選手の1試合3三振は2020年8月8日以来。吉田選手は昨年102打席連続無三振を記録するなど滅多に三振しない人です。
#千葉ロッテマリーンズ",5f7d002d141e4e1c0e84e98e,"#佐々木朗希 さん #吉田正尚 さんから3三振。吉田選手の1試合3三振は2020年8月8日以来。吉田選手は昨年102打席連続無三振を記録するなど滅多に三振しない人です。
#千葉ロッテマリーンズ - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'スポーツ'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1513049135745691648
"#佐々木朗希 さん #吉田正尚 さんから3三振。吉田選手の1試合3三振は2020年8月8日以来。吉田選手は昨年102打席連続無三振を記録するなど滅多に三振しない人です。
#千葉ロッテマリーンズ",608254e72addda3937fd934b,"#佐々木朗希 さん #吉田正尚 さんから3三振。吉田選手の1試合3三振は2020年8月8日以来。吉田選手は昨年102打席連続無三振を記録するなど滅多に三振しない人です。
#千葉ロッテマリーンズ - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'スポーツ'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1513049135745691648
"#佐々木朗希 さん #吉田正尚 さんから3三振。吉田選手の1試合3三振は2020年8月8日以来。吉田選手は昨年102打席連続無三振を記録するなど滅多に三振しない人です。
#千葉ロッテマリーンズ",5fbd371dc57ae80a38ba00c2,"#佐々木朗希 さん #吉田正尚 さんから3三振。吉田選手の1試合3三振は2020年8月8日以来。吉田選手は昨年102打席連続無三振を記録するなど滅多に三振しない人です。
#千葉ロッテマリーンズ - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'スポーツ'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1513049135745691648
"#佐々木朗希 さん #吉田正尚 さんから3三振。吉田選手の1試合3三振は2020年8月8日以来。吉田選手は昨年102打席連続無三振を記録するなど滅多に三振しない人です。
#千葉ロッテマリーンズ",64622d2c6d50562c9b68e0c1,"#佐々木朗希 さん #吉田正尚 さんから3三振。吉田選手の1試合3三振は2020年8月8日以来。吉田選手は昨年102打席連続無三振を記録するなど滅多に三振しない人です。
#千葉ロッテマリーンズ - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'スポーツ'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1513049135745691648
"#佐々木朗希 さん #吉田正尚 さんから3三振。吉田選手の1試合3三振は2020年8月8日以来。吉田選手は昨年102打席連続無三振を記録するなど滅多に三振しない人です。
#千葉ロッテマリーンズ",5b9ed139cbabef00011756d3,"#佐々木朗希 さん #吉田正尚 さんから3三振。吉田選手の1試合3三振は2020年8月8日以来。吉田選手は昨年102打席連続無三振を記録するなど滅多に三振しない人です。
#千葉ロッテマリーンズ - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'スポーツ'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1513049135745691648
"#幻塔
今回の運営の方針だと
闇市コイン19枚
チップ原型80枚
貰えることになるんだが。",6097e36e99d6c893daf55676,"#幻塔
今回の運営の方針だと
闇市コイン19枚
チップ原型80枚
貰えることになるんだが。 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'ゲーム'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1562983164431454208
"#幻塔
今回の運営の方針だと
闇市コイン19枚
チップ原型80枚
貰えることになるんだが。",5c5c85c6054ae60001d04f67,"#幻塔
今回の運営の方針だと
闇市コイン19枚
チップ原型80枚
貰えることになるんだが。 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'ゲーム'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1562983164431454208
"#幻塔
今回の運営の方針だと
闇市コイン19枚
チップ原型80枚
貰えることになるんだが。",5f5329e2536ecb62db8534a0,"#幻塔
今回の運営の方針だと
闇市コイン19枚
チップ原型80枚
貰えることになるんだが。 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]","frozenset({'学校', '社会'})",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1562983164431454208
"#幻塔
今回の運営の方針だと
闇市コイン19枚
チップ原型80枚
貰えることになるんだが。",5b16adc0388d8b00014fa3a0,"#幻塔
今回の運営の方針だと
闇市コイン19枚
チップ原型80枚
貰えることになるんだが。 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'その他'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1562983164431454208
"#幻塔
今回の運営の方針だと
闇市コイン19枚
チップ原型80枚
貰えることになるんだが。",64950eb7e2cb12bc4dc6d9d2,"#幻塔
今回の運営の方針だと
闇市コイン19枚
チップ原型80枚
貰えることになるんだが。 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'ビジネス'}),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562983164431454208
"#新曲未だですか
数学パートと化学パートの打ち込みと英語パートの録音がまだ終わってない",60f01d9692d019017760b69a,"#新曲未だですか
数学パートと化学パートの打ち込みと英語パートの録音がまだ終わってない - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'学校'}),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1541390887280062464
"#新曲未だですか
数学パートと化学パートの打ち込みと英語パートの録音がまだ終わってない",63f7df76fda679592c5132bf,"#新曲未だですか
数学パートと化学パートの打ち込みと英語パートの録音がまだ終わってない - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'音楽'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1541390887280062464
"#新曲未だですか
数学パートと化学パートの打ち込みと英語パートの録音がまだ終わってない",645990d7f2a2eed62ff6e168,"#新曲未だですか
数学パートと化学パートの打ち込みと英語パートの録音がまだ終わってない - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'学校'}),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1541390887280062464
"#新曲未だですか
数学パートと化学パートの打ち込みと英語パートの録音がまだ終わってない",5ffe640167408f52d6db782c,"#新曲未だですか
数学パートと化学パートの打ち込みと英語パートの録音がまだ終わってない - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'音楽'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1541390887280062464
"#新曲未だですか
数学パートと化学パートの打ち込みと英語パートの録音がまだ終わってない",615838a2d65d6be56cc96091,"#新曲未だですか
数学パートと化学パートの打ち込みと英語パートの録音がまだ終わってない - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]","frozenset({'学校', '教育関連'})",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1541390887280062464
"#星新一の不思議な不思議な短編ドラマ 生活維持省
理屈はわからなくもないですけど国民が羊のように大人しくなきゃいけなくて流石に苦しい気が?
落ちは主役か恋人が来たら面白いなと思ったら来て大満足
最後はハードボイルドみたいなクールな感じでいいですね",57d56562a0e8ce00015439c7,"#星新一の不思議な不思議な短編ドラマ 生活維持省
理屈はわからなくもないですけど国民が羊のように大人しくなきゃいけなくて流石に苦しい気が?
落ちは主役か恋人が来たら面白いなと思ったら来て大満足
最後はハードボイルドみたいなクールな感じでいいですね - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'映画&ラジオ'}),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1547370284532916224
